Company,Job_Title,Job_Description,Skills,Url
CRED,Backend Developer,"About the job what is CRED?CRED is an exclusive community for India’s most trustworthy and creditworthy individuals, where the members are rewarded for good financial behavior. CRED was born out of a need to bring back the focus on a long lost virtue, one of trust, the idea being to create a community centered around this virtue. a community that constantly strives to become more virtuous in this regard till they finally scale their behavior to create a utopia where being trustworthy is the norm and not the exception. to build a community like this requires a community of its own; a community special in its own way, working towards making this vision come true.here’s a thought experiment: what do you get when you put a group of incredibly passionate and driven people and entrust them with the complete freedom to chase down their goals in a completely uninhibited manner? answer: you get something close to what we have at CRED; CRED just has it better.here’s what will be in store for you at CRED once you join as a part of the customer success teamwhat will you do: you will work on a disruptive product that’s still in its early stagesyou will be responsible to drive innovation in software development, while relentlessly improving performance, scalability, and maintainability.you will own the design process, implementation, and verification of framework components leveraging standard software engineering methodologiesyou will be translating functional and technical requirements into detailed architecture and design.you will be responsible for mentoring other engineers, defining our technical culture, and helping to build a fast-growing team. you should apply if you: someone having 6-8 years of experience in product development, architecture, and designconstantly learning and looking for ways to improve yourself and the processes around youmentoring and supporting other team members by doing code reviews and applying your experience in process and technical leadershipworking in an agile team environment and are a self-starter, conscientious member of the teampassionate to code, but also you’re awesome at it!interested in working with Java/Golang programming languages, have proficiency in DDB, RDS, Aerospike databases, and possess experience with the AWS cloud platform how is life at CRED?working at CRED would instantly make you realize one thing: you are working with the best talent around you. not just in the role you occupy, but everywhere you go. talk to someone around you; most likely you will be talking to a singer, standup comic, artist, writer, an athlete, maybe a magician. at CRED people always have talent up their sleeves. with the right company, even conversations can be rejuvenating. at CRED, we guarantee a good company.hard truths: pushing oneself comes with the role. and we realise pushing oneself is hard work. which is why CRED is in the continuous process of building an environment that helps the team rejuvenate oneself: included but not limited to a stacked, in-house pantry, with lunch and dinner provided for all the team members, paid sick leaves and a comprehensive health insurance.to make things smoother and to make sure you spend time and energy only on the most important things, CRED strives to make every process transparent: there are no work timings because we do not believe in archaic methods of calculating productivity, your work should speak for you. there are no job designations because you will be expected to hold down roles that cannot be described in one word.there are many more such eccentricities that make CRED what it is but that’s for one to discover. if you feel at home reading this, get in touch","Back-End Web Development, Code Review, Maintainability, Passionate about Work, Performance Tuning, Product Development, Skill Development, Software Development, Technical Leadership, and Technical Requirements",https://www.linkedin.com/jobs/search/?currentJobId=3908881694
CRED,iOS developer,"About the job what is CRED?CRED is an exclusive community for India’s most trustworthy and creditworthy individuals, where the members are rewarded for good financial behavior. CRED was born out of a need to bring back the focus on a long-lost virtue, one of trust, the idea is to create a community-centered around this virtue. a community that constantly strives to become more virtuous in this regard till they finally scale their behavior to create a utopia where being trustworthy is the norm and not the exception. to build a community like this requires a community of its own; a community special in its own way, working towards making this vision come true.here’s a thought experiment: what do you get when you put a group of incredibly passionate and driven people and entrust them with the complete freedom to chase down their goals in a completely uninhibited manner? answer: you get something close to what we have at CRED; CRED just has it better.here’s what will be in store for you at CRED once you join as a part of the teamwhat you will do: work on a disruptive product that’s still in its early stagesbe responsible for the development and maintenance of the CRED App aimed at ios mobile devices.translate designs and wireframes into high-quality codeensure the best possible performance, quality, and responsiveness of the CRED Appmentor other engineers, define our technical culture and help to build a fast-growing team. you should apply if you have: experience in product development, architecture, and design for 2 to 6 yearsproficiency in swift languageability to learn and look for ways to improve yourself and the processes around you.strong knowledge of the ios framework and the ability to deal with different screen sizesproficiency with RESTful API&#39;s to connect ios applications to back-end servicesexperience with storage, threading, and performance tuningthe ability to mentor and support other team members by doing code reviews and applying your experience in process and technical leadership.experience working with agile team environments and if you are a self-starter, conscientious member of the team.good knowledge in pixel-perfect implementation of designs. how is life at CRED?working at CRED would instantly make you realize one thing: you are working with the best talent around you. not just in the role you occupy, but everywhere you go. talk to someone around you; most likely you will be talking to a singer, standup comic, artist, writer, an athlete, maybe a magician.at CRED people always have talent up their sleeves. with the right company, even conversations can be rejuvenating. at CRED, we guarantee good company.hard truths: pushing oneself comes with the role. and we realize pushing oneself is hard work. which is why CRED is in the continuous process of building an environment that helps the team rejuvenate oneself: included but not limited to a stacked, in-house pantry, with lunch and dinner provided for all the team members, paid sick leaves and comprehensive health insurance.to make things smoother and to make sure you spend time and energy only on the most important things, CRED strives to make every process transparent: there are no work timings because we do not believe in archaic methods of calculating productivity, your work should speak for you. there are no job designations because you will be expected to hold down roles that cannot be described in one word. since trust is a major virtue in the community we have built, we make it a point to highlight it in the community behind CRED: all our employees get their salaries before their joining date. a show of trust that speaks volumes because of the skin in the game.there are many more such eccentricities that make CRED what it is but that’s for one to discover.if you feel at home reading this, get in touch.","Application Programming Interfaces (API), Back-End Web Development, Code Review, Performance Tuning, Product Development, Representational State Transfer (REST), Swift (Programming Language), Wireframing, iOS, and iOS Development",https://www.linkedin.com/jobs/search/?currentJobId=3876057424
CRED,senior backend developer,"About the job what is CRED?CRED is an exclusive community for India’s most trustworthy and creditworthy individuals, where the members are rewarded for good financial behavior. CRED was born out of a need to bring back the focus on a long lost virtue, one of trust, the idea being to create a community centered around this virtue. a community that constantly strives to become more virtuous in this regard till they finally scale their behavior to create a utopia where being trustworthy is the norm and not the exception. to build a community like this requires a community of its own; a community special in its own way, working towards making this vision come true.here’s a thought experiment: what do you get when you put a group of incredibly passionate and driven people and entrust them with the complete freedom to chase down their goals in a completely uninhibited manner? answer: you get something close to what we have at CRED; CRED just has it better.here’s what will be in store for you at CRED once you join as a backend developer.what you will do? work on a disruptive product that’s still in its early stagesresponsible to drive innovation in software development, while relentlessly improving performance, scalability, and maintainabilityown the design process, implementation, and verification of framework components leveraging standard software engineering methodologiestranslating functional and technical requirements into detailed architecture and designresponsible for mentoring other engineers, defining our technical culture, and helping to build a fast-growing team you should apply If you are: someone having 6-8 years of experience in product development, architecture, and designconstantly learning and looking for ways to improve yourself and the processes around youmentoring and supporting other team members by doing code reviews and applying your experience in process and technical leadershipworking in an agile team environment and are a self-starter, conscientious member of the teampassionate to code, but also you’re awesome at it!interested in working with Java/Golang programming languages, have proficiency in DDB, RDS, Aerospike databases, and possess experience with the AWS cloud platform how is life at CRED?working at CRED would instantly make you realize one thing: you are working with the best talent around you. not just in the role you occupy, but everywhere you go. talk to someone around you; most likely you will be talking to a singer, standup comic, artist, writer, an athlete, maybe a magician. at CRED people always have talent up their sleeves. with the right company, even conversations can be rejuvenating. at CRED, we guarantee a good company.hard truths: pushing oneself comes with the role. and we realise pushing oneself is hard work. which is why CRED is in the continuous process of building an environment that helps the team rejuvenate oneself: included but not limited to a stacked, in-house pantry, with lunch and dinner provided for all the team members, paid sick leaves and a comprehensive health insurance.to make things smoother and to make sure you spend time and energy only on the most important things, CRED strives to make every process transparent: there are no work timings because we do not believe in archaic methods of calculating productivity, your work should speak for you. there are no job designations because you will be expected to hold down roles that cannot be described in one word. since trust is a major virtue in the community we have built, we make it a point to highlight it in the community behind CRED: all our employees get their salaries before their joining date. a show of trust that speaks volumes because of the skin in the game.there are many more such eccentricities that make CRED what it is but that’s for one to discover. if you feel at home reading this, get in touch","Aerospike, Amazon Relational Database Service (RDS), Back-End Web Development, Code Review, Databases, Go (Programming Language), Java, Programming Languages, Software Development, and Technical Requirements",https://www.linkedin.com/jobs/search/?currentJobId=3827943133
CRED,technology leader - commerce,"About the job what is CRED?CRED is an exclusive community for India’s most trustworthy and creditworthy individuals, where the members are rewarded for good financial behaviour. CRED was born out of a need to bring back the focus on a long lost virtue, one of trust, the idea being to create a community centered around this virtue. a community that constantly strives to become more virtuous in this regard till they finally scale their behaviour to create a utopia where being trustworthy is the norm and not the exception. to build a community like this requires a community of its own; a community special in its own way, working towards making this vision come true.here’s a thought experiment: what do you get when you put a group of incredibly passionate and driven people and entrust them with the complete freedom to chase down their goals in a completely uninhibited manner? answer: you get something close to what we have at CRED; CRED just has it better.here’s what will be in store for you at CRED once you join as an ‘technology leader’.what will you be doing ?technology orientation creates a culture to enable technology as a catalyst for solving business & customer problemsensure the best engineering practices are adopted & followed across the organizationhands-on with technology stack and tools used by the team and can lead by exampleworks closely with architects to choose the right technology stack & rasp (reliability, availability, scalability & performance) characteristics of the product are intactapply the first-principles approach to solving technological problemsinstills a culture where technology is leveraged not just as a tool, but as a primary means to solve customer challenges, enhancing user satisfaction and engagement. delivery orientation drives results & focuses on outcomesresponsible for timeliness and quality of deliverablescommunicates effectively and keeps internal & external stakeholders updated on the progress of projectsanticipate problems & unblock the team proactivelydrives the engineering team to deliver results with a clear focus on customer-centric outcomes, ensuring that all features and updates contribute to a frictionless, engaging, and valuable user experience.proactively addresses and anticipates customer-related issues or needs, maintaining a steady flow of communication with customer-facing teams to align product enhancements with customer feedback and expectations.establishes processes for integrating customer feedback into the development lifecycle, ensuring that the product not only meets but exceeds customer expectations. organizational leadership understands the big picture & impact of day to day decisions on business, product & the customerssets the right direction for the team and leads by examplealign & inspire the team to gravitate towards the shared visionenable agility to respond to product changes effectivelyinnate ability to be trusted by everyone people management hire the right talent & manage the team performancementor & coach the teamactively engage with the team and help build their career pathmanage conflicts proactively and provide timely feedbackmotivate, inspire, recognize & reward good performancechampions a culture of empathy and understanding towards customers, ensuring the team consistently prioritizes customer needs and experiences in their work. you should apply if you: possess 8+ years experience (with recent years of experience being engineering manager or staff engineer)exhibit strong competencies in software design & architecture along with a deeper understanding of the scalability of distributed systemshave a track record of delivering technology solutions that have directly contributed to enhanced customer satisfaction and engagement.are experienced in agile methodologies like scrumhave the ability to make decisions independentlyhave the ability to communicate and manage stakeholders effectively how is life at CRED?working at CRED would instantly make you realize one thing: you are working with the best talent around you. not just in the role you occupy, but everywhere you go. talk to someone around you; most likely you will be talking to a singer, standup comic, artist, writer, an athlete, maybe a magician. at CRED people always have talent up their sleeves. with the right company, even conversations can be rejuvenating. at CRED, we guarantee a good company.hard truths: pushing oneself comes with the role. and we realise pushing oneself is hard work. which is why CRED is in the continuous process of building an environment that helps the team rejuvenate oneself: included but not limited to a stacked, in-house pantry, with lunch and dinner provided for all the team members, paid sick leaves and a comprehensive health insurance.to make things smoother and to make sure you spend time and energy only on the most important things, CRED strives to make every process transparent: there are no work timings because we do not believe in archaic methods of calculating productivity, your work should speak for you. there are no job designations because you will be expected to hold down roles that cannot be described in one word.there are many more such eccentricities that make CRED what it is but that’s for one to discover. if you feel at home reading this, get in touch","Agile Methodologies, Engineering Management, High-Level Design, Low-Level Design, Product Management, Software Architectural Design, Software Architecture, and Software Development",https://www.linkedin.com/jobs/search/?currentJobId=3908842520
Meta,Accounting Manager,"About the job Meta is seeking an Accounting Manager to join its growing finance team based in Hyderabad.This a great role for anyone looking to accelerate their learning, build new things, collaborate with cross-functional business partners & enjoy the Facebook culture. You will demonstrate exceptional communication and partnership skills along with recognizing how to balance getting the details right while still moving fast. You will be a highly driven, energetic, focused individual that can work well with internal and external partners at all levels. In this position you will be given the opportunity to problem solve, drive process improvements and exercise good business judgment while performing your function.Accounting Manager Responsibilities: Responsible for managing multiple India entities from a statutory compliance perspective. Oversee the preparation of financial statements in accordance with IFRS or applicable local GAAP Drive processes to navigate the statutory recognition of complex US GAAP transactionsReview the work of our outsourced partners, responsible for driving process improvements, be an enabler for unblocking any roadblocks in fixing process gaps, ensure to build proper internal controls around the process. Manage processes related to tax payments and accounting, statistical filings, Special Economic Zone, GST and other obligatory filings as maybe applicable to Indian legal entities. Manage & coordinate processes for the preparation of Corporation Tax, GST returns and Statutory Financial Statements Support the Statutory Audit process and ensure timely and accurate preparation of audit deliverables Promote strong business partnerships and manage service levels with third party service providersSupport the Finance team in continuous improvement and innovation. Includes design, testing and roll-out of financial reporting systems/tools/processes Minimum Qualifications: Excellent team player who is very comfortable working as part of a larger team located across multiple geographic locationsSolid knowledge of US GAAP, IFRS and local GAAPStrong computer and analytical skills, including proficiency in MS ExcelAbility to work independently, to work under pressure and to handle several projects at onceExcellent planning, analytical and interpersonal skillsAttention to detail yet should also not lose focus on the big pictureOrganized and thorough with desire for continuous improvementExcellent verbal, written, and communication skills Preferred Qualifications: ACA/ FCA- Experience with Oracle ERP is very desirableBig 4 audit background is a plus About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Analytical Skills, Balance Sheets, Communication, Financial Reporting, Financial Statements, Generally Accepted Accounting Principles (GAAP), International Financial Reporting Standards (IFRS), Interpersonal Skills, Statutory, and U.S. Generally Accepted Accounting Principles (GAAP)",https://www.linkedin.com/jobs/search/?currentJobId=3909533569
Meta,"Client Solutions Manager, e-Commerce & Retail","About the job Meta is seeking a Client Solutions Manager (CSM) to join our Global Marketing Solutions team. The CSM will work with large local advertisers, who are operating multi-channel, and combine a focus on eCommerce with brand marketing on Meta platforms.We are looking for a strategic and enthusiastic solution-driver who puts customers at the core of everything. This person has a passion for marketing, and firm belief that the future of marketing is identity-based, data-driven and grounded in measurable outcomes.With proven understanding of online performance marketing, the CSM is responsible for driving revenue by advising on campaigns on Meta platforms, negotiating and optimizing the advertising solutions, and using data and analytics to build consultative advice for our customers.Success in this position requires a high level of consultative and analytical skills (campaign analytics, dash-boarding, ad solution optimisation), with focus on client development. The CSM must be solution-oriented, with curiosity and the ability to drive impact in a dynamic, team-focused environment, while moving fast against challenging deadlines.Client Solutions Manager, e-Commerce & Retail Responsibilities: Work with brands to understand their business objectives and develop the Meta strategy in partnership with the Client Partner, which will constitute building on insights, crafting media plans, page strategy, creative and measurement recommendationsBuild key stakeholder relationships both internally and externally, and be seen as a key influencer in shaping product roadmaps, platform strategy and the overall Facebook narrativeProvide dedicated account management to top clients, to develop, manage, optimize, and support strategic account plans, and leverage data to create business solutions for clientsDevelop vertical expertise, including industry research and perspective, to drive overall business objectives and marketing solutions for advertisersMedia Planning, Strategy, and Measurement: Manage planning, execution, ongoing reporting and optimisation of campaigns (oversee budget spend, manage internal analytics and dashboards, provide optimisation and real time targeting recommendations)Project Management - Manage complex work streams to optimize marketing objectives for clients. Manage Analytics and dashboards to advise clients (e.g. daily client facing data/insights reporting, understanding performance across hundreds of accounts used by clients, setting up pipelines to pull conversion and impression data, etc.) Minimum Qualifications: 4+ years of experience in performance marketing and/or account management rolesUnderstanding of online and traditional advertisingSolid understanding of Digital Marketing, Technology, and accompanying Meta advertising solutionsExperience in ad tech/online marketing technologies and understands how to implement them for an effective and efficient marketing strategyCritical thinking, analytical and technical skills are essential, as well as curiosity, persistence, and the ability to arrive at solutions in a structured mannerDemonstrated ability to develop and manage cross functional partnership as well as client relationships in complex and rapidly evolving environment Preferred Qualifications: Familiarity with Digital Performance Marketing in the eCommerce industry will be a plus About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Account Management, Ad Tech, Critical Thinking, Facebook, Influencer Marketing, Media Planning, Online Marketing, Performance Marketing, Persistence, and Stakeholder Management",https://www.linkedin.com/jobs/search/?currentJobId=3876160192
Meta,"ASIC Engineer, Architecture (University Grad)","About the job Meta Platforms Inc. is seeking an ASIC Engineer, Architecture to join our Infrastructure organization. This organization is responsible for building and maintaining the data centers that host all of our services - Facebook, Instagram, WhatsApp etc. These servers and data centers are the foundation upon which our rapidly scaling infrastructure efficiently operates and upon which our innovative services are delivered. In this role, you will be an integral member of an ASIC team to build accelerators for some of our top workloads enabling our data centers to scale efficiently. You will have an opportunity to work with experts in the domain of video transcode, AI/ML and other technologies to evaluate algorithms, develop functional and performance models and help architect state-of-the art hardware accelerator ASICs. Come work and learn alongside our expert engineers to build “Green” data center accelerators.ASIC Engineer, Architecture (University Grad) Responsibilities: Implement and analyze advanced algorithms and architectures for video transcode and machine learning SoCs.Analyze and map data center workloads to ASIC architecturedevelop performance and functional models at different levels of abstraction to validate the architecture.Work with a broad array of cross functional partners in ASIC design, verification, silicon bring-up, firmware and software development to ensure the successful production deployment of the SoCs.Implement architecture documentation and other collateral necessary for the use and integration of your designs. Minimum Qualifications: Computer Architecture coursework that has covered concepts such as microprocessor architecture, memory systems and on-chip interconnection networks.Familiarity with C, C++, Python or other Object Oriented Programming Languages.Must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment.Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta. Preferred Qualifications: Currently has, or is in the process of obtaining, a Master’s degree in Electrical Engineering, Computer Engineering, Computer Science or similar technical fields.Experience and knowledge in video/image/signal processing and related standards.Experience and knowledge in machine learning architectures and frameworks.Experience in analyzing and driving power versus performance trade-offs in ASIC design. About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Analytical Skills, Application-Specific Integrated Circuits (ASIC), Computer Architecture, Computer Engineering, Computer Science, Electrical Engineering, Firmware, Logic Design, Microprocessors, and Universal Verification Methodology (UVM)",https://www.linkedin.com/jobs/search/?currentJobId=3867419556
Meta,"ASIC Engineer, Design Verification","About the job Meta is hiring ASIC Design Verification Engineer within the Infrastructure organization. We are looking for individuals with experience in Design Verification to build IP and System On Chip (SoC) for data center applications.As a Design Verification Engineer, you will be part of a dynamic team working with the best in the industry, focused on developing innovative ASIC solutions for Facebook’s data center applications. You will be responsible for the verification closure of a design module or sub-system from test-planning, UVM based test bench development to verification closure. Along with traditional simulation, you will be able to use other approaches like Formal and Emulation to achieve a bug-free design. The role also provides ample opportunities to partner and collaborate with full stack software, hardware, ASIC Design, Emulation and Post-Silicon teams towards creating a first-pass silicon success.ASIC Engineer, Design Verification Responsibilities: Define and implement block/IP/SoC verification plans, build verification test benches to enable block/IP/sub-system/SoC level verificationDevelop functional tests based on verification test planDrive Design Verification to closure based on defined verification metrics on test plan, functional and code coverageDebug, root-cause and resolve functional failures in the design, partnering with the Design teamCollaborate with cross-functional teams like Design, Model, Emulation and Silicon validation teams towards ensuring the highest design quality Minimum Qualifications: Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.3+ years hands-on experience in SystemVerilog/UVM methodology or C/C++ based verificationTrack record of 'first-pass success' in ASIC development cycles3+ years experience in block/IP/sub-system and/or SoC level verification based on SystemVerilog UVM/OVM based methodologiesExperience in EDA tools and scripting (Python, TCL, Perl, Shell) used to build tools and flows for verification environmentsExperience in architecting and implementing Design Verification infrastructure and executing the full verification cycleBachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Preferred Qualifications: Experience in development of UVM based verification environments from scratchExperience with Design verification of Data-center applications like Video, AI/ML and Networking designsExperience with revision control systems like Mercurial(Hg), Git or SVNExperience with verification of ARM/RISC-V based sub-systems or SoCsExperience with IP or integration verification of high-speed interfaces like PCIe, DDR, Ethernet About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Application-Specific Integrated Circuits (ASIC), DDR SDRAM, EDA, Functional Verification, PCIe, RISC-V, System on a Chip (SoC), SystemVerilog, TCL, and Universal Verification Methodology (UVM)",https://www.linkedin.com/jobs/search/?currentJobId=3811309041
Meta,"ASIC Engineer, EDA Infrastructure","About the job Meta is hiring ASIC EDA Infrastructure Engineers within our Infrastructure ASIC organization. We are looking for individuals with experience in EDA flow and methodology, CAD/automation and ASIC infrastructure to build efficient System on Chip (SoC) and IP for data center applications.ASIC Engineer, EDA Infrastructure Responsibilities: Front End implementation flow development and support.Physical Design implementation flow development and support.RTL2GDS flow development and support.Internal tools development and automation to help improve productivity across ASIC design cycles including but not limited to RTL generation tools, memory selection automation, register generation, filelist generation.Work with EDA vendors on new tools/technology and new features evaluation and adoption.Manage the internal EDA license requests, installation and license forecast as well as EDA tool installation and maintenance.Work with internal infrastructure team on compute grid, storage management and job scheduling architecture, efficiency and maintenance.Work with internal infrastructure team on adapting FB infrastructure to ASIC design solutions, including but not limited to Source Control Management, Continuous Integration, data management and reporting. Minimum Qualifications: Knowledge of front-end and back-end ASIC tools and flows.Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.Experience with RTL design using SystemVerilog or other HDL.5+ years of experience with EDA tools and scripting languages (Python, Tcl) used to build tools and flows for complex environments.Experience with ASIC EDA infrastructure (compute, storage, job scheduling) management, maintenance and support.Experience with developing and supporting solutions for ASIC design environment and infrastructure.Experience with communicating across functional internal teams and with vendors. Preferred Qualifications: Experience setting up EDA infrastructure from scratch.User experience and customer oriented solutions. About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Application-Specific Integrated Circuits (ASIC), Build Tools, Computer Engineering, EDA, Hardware Description Language, Job Scheduling, Python (Programming Language), RTL Design, Scripting, and SystemVerilog",https://www.linkedin.com/jobs/search/?currentJobId=3876160193
Meta,"ASIC Engineer, Design","About the job Facebook is hiring ASIC Design Engineers within our Infrastructure organization. We are looking for talented individuals with deep experience that span one or more of the key areas required to build successful world-class complex SoC and IP for data center applications.ASIC Engineer, Design Responsibilities: Architecture explorationMicro-architecture developmentRTL development using Verilog, System Verilog and HLSLint, CDC, Synthesis, & Power OptimizationSoft and hard IP identification, selection and integrationCollaboration with verification and emulation teams in test plan development and debugCollaboration with implementation team to close the design on timing and power Minimum Qualifications: 15+ years of silicon development experienceTrack record of first-pass success in ASIC DevelopmentExperience with Verilog or System VerilogExperience in one of these skills: Micro-architecture and RTL development for complex control and data path IPs, OR Experience in SoC Micro-architecture, Design and Integration, OR Implementation, Power methodology developmentExperience working across multiple projectsBachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Preferred Qualifications: Experience in data path developmentExperience in CPU, NOC, Memory and Peripheral SubsystemsExperience in HLSExperience with Synthesis, Timing Closure and Formal Verification MethodologyExperience with Power Analysis and OptimizationExperience with scripting languages (TCL, Python, Perl, Shell-scripting) About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.","Application-Specific Integrated Circuits (ASIC), Power Analysis, RTL Design, RTL Development, System on a Chip (SoC), SystemVerilog, TCL, Timing, Timing Closure, and Verilog",https://www.linkedin.com/jobs/search/?currentJobId=3811309519
